receive_time_ns,parse_ok,error,source_topic,source_stamp_sec,unity_update_time_sec,latency_ms,joint_count,raw_data
1783590600930077266,True,,/joint_states,1783590600.86116,1783590600.876,14.835,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590600.861160000,""unity_update_time_sec"":1783590600.876,""latency_ms"":14.835,""joint_count"":9}"
1783590601026177941,True,,/joint_states,1783590600.96346,1783590600.973,9.54,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590600.963460000,""unity_update_time_sec"":1783590600.973,""latency_ms"":9.540,""joint_count"":9}"
1783590601127583603,True,,/joint_states,1783590601.0618,1783590601.074,12.2,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590601.061800000,""unity_update_time_sec"":1783590601.074,""latency_ms"":12.200,""joint_count"":9}"
1783590601227766511,True,,/joint_states,1783590601.16037,1783590601.173,12.631,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590601.160370000,""unity_update_time_sec"":1783590601.173,""latency_ms"":12.631,""joint_count"":9}"
1783590601323821550,True,,/joint_states,1783590601.26245,1783590601.275,12.545,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590601.262450000,""unity_update_time_sec"":1783590601.275,""latency_ms"":12.545,""joint_count"":9}"
1783590601430559189,True,,/joint_states,1783590601.36103,1783590601.373,11.968,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590601.361030000,""unity_update_time_sec"":1783590601.373,""latency_ms"":11.968,""joint_count"":9}"
1783590601525648790,True,,/joint_states,1783590601.46327,1783590601.475,11.73,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590601.463270000,""unity_update_time_sec"":1783590601.475,""latency_ms"":11.730,""joint_count"":9}"
1783590601625751627,True,,/joint_states,1783590601.56159,1783590601.573,11.414,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590601.561590000,""unity_update_time_sec"":1783590601.573,""latency_ms"":11.414,""joint_count"":9}"
1783590601725519473,True,,/joint_states,1783590601.66389,1783590601.673,9.109,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590601.663890000,""unity_update_time_sec"":1783590601.673,""latency_ms"":9.109,""joint_count"":9}"
1783590601822018298,True,,/joint_states,1783590601.76228,1783590601.775,12.724,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590601.762280000,""unity_update_time_sec"":1783590601.775,""latency_ms"":12.724,""joint_count"":9}"
1783590601930322419,True,,/joint_states,1783590601.8645,1783590601.876,11.499,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590601.864500000,""unity_update_time_sec"":1783590601.876,""latency_ms"":11.499,""joint_count"":9}"
1783590602027015070,True,,/joint_states,1783590601.96284,1783590601.973,10.156,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590601.962840000,""unity_update_time_sec"":1783590601.973,""latency_ms"":10.156,""joint_count"":9}"
1783590602125478809,True,,/joint_states,1783590602.06131,1783590602.075,13.688,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590602.061310000,""unity_update_time_sec"":1783590602.075,""latency_ms"":13.688,""joint_count"":9}"
1783590602271369335,True,,/joint_states,1783590602.16348,1783590602.182,18.521,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590602.163480000,""unity_update_time_sec"":1783590602.182,""latency_ms"":18.521,""joint_count"":9}"
1783590602341922580,True,,/joint_states,1783590602.26195,1783590602.272,10.048,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590602.261950000,""unity_update_time_sec"":1783590602.272,""latency_ms"":10.048,""joint_count"":9}"
1783590602490849498,True,,/joint_states,1783590602.36453,1783590602.375,10.474,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590602.364530000,""unity_update_time_sec"":1783590602.375,""latency_ms"":10.474,""joint_count"":9}"
1783590602601538303,True,,/joint_states,1783590602.46261,1783590602.483,20.395,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590602.462610000,""unity_update_time_sec"":1783590602.483,""latency_ms"":20.395,""joint_count"":9}"
1783590602662476891,True,,/joint_states,1783590602.56095,1783590602.6,39.051,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590602.560950000,""unity_update_time_sec"":1783590602.600,""latency_ms"":39.051,""joint_count"":9}"
1783590602729208816,True,,/joint_states,1783590602.66318,1783590602.682,18.825,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590602.663180000,""unity_update_time_sec"":1783590602.682,""latency_ms"":18.825,""joint_count"":9}"
1783590602909845946,True,,/joint_states,1783590602.76167,1783590602.773,11.328,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590602.761670000,""unity_update_time_sec"":1783590602.773,""latency_ms"":11.328,""joint_count"":9}"
